iter	Passed	Remaining
289	75732	80955
290	76150	80860
291	76542	80736
292	76880	80553
293	77701	80873
294	78112	80760
295	78499	80621
296	79056	80654
297	79423	80489
298	79720	80253
299	80013	80013
300	80283	79750
301	80541	79474
302	80851	79250
303	81112	78978
304	81370	78702
305	81634	78433
306	81892	78157
307	82148	77880
308	82393	77593
309	82640	77308
310	82980	77110
311	83337	76927
312	83657	76708
313	83972	76484
314	84228	76206
315	84452	75900
316	84695	75611
317	84926	75312
318	85152	75008
319	85513	74824
320	85755	74535
321	85971	74223
322	86185	73911
323	86397	73597
324	86809	73454
325	87098	73205
326	87320	72900
327	87532	72587
328	87808	72328
329	88027	72022
330	88251	71721
331	88463	71410
332	88709	71127
333	88933	70827
334	89206	70566
335	89536	70350
336	89768	70056
337	90010	69771
338	90251	69486
339	90531	69230
340	90768	68941
341	90996	68646
342	91262	68380
343	91503	68095
344	91746	67812
345	91950	67501
346	92204	67226
347	92505	66986
348	92743	66700
349	93048	66462
350	93313	66196
351	93548	65909
352	93764	65608
353	93968	65299
354	94183	65000
355	94405	64704
356	94669	64438
357	94992	64212
358	95256	63946
359	95469	63646
360	95701	63359
361	95924	63066
362	96130	62762
363	96416	62511
364	96844	62351
365	97212	62152
366	97698	62026
367	98079	61832
368	98369	61581
369	98850	61447
370	99130	61188
371	99565	61024
372	100074	60903
373	100337	60631
374	100609	60365
375	100865	60090
376	101147	59830
377	101439	59575
378	101700	59302
379	101951	59024
380	102187	58737
381	102452	58467
382	102740	58210
383	102994	57934
384	103271	57671
385	103471	57365
386	103658	57052
387	103839	56736
388	104027	56426
389	104391	56211
390	104809	56023
391	105288	55867
392	105736	55693
393	106179	55515
394	106453	55248
395	106830	55033
396	107088	54757
397	107343	54481
398	107606	54207
399	107885	53942
400	108159	53675
401	108475	53428
402	108750	53160
403	109011	52886
404	109284	52618
405	109550	52346
406	109822	52077
407	110083	51803
408	110352	51533
409	110652	51277
410	110916	51005
411	111337	50804
412	111841	50640
413	112185	50402
414	112466	50135
415	112773	49880
416	113053	49613
417	113315	49338
418	113601	49073
419	113925	48825
420	114194	48553
421	114734	48395
422	115006	48123
423	115300	47860
424	115623	47609
425	115919	47347
426	116213	47083
427	116519	46825
428	116798	46556
429	117096	46294
430	117387	46029
431	117874	45839
432	118297	45625
433	118693	45398
434	119004	45139
435	119299	44874
436	119700	44647
437	119999	44383
438	120257	44103
439	120640	43869
440	121056	43646
441	121471	43421
442	121945	43217
443	122281	42963
444	122630	42714
445	122930	42446
446	123291	42200
447	123624	41944
448	123871	41658
449	124161	41387
450	124397	41097
451	124646	40813
452	124911	40534
453	125166	40251
454	125403	39963
455	125646	39677
456	125909	39398
457	126134	39107
458	126333	38808
459	126540	38512
460	126745	38216
461	126936	37916
462	127140	37620
463	127339	37323
464	127531	37025
465	127725	36727
466	127925	36432
467	128119	36136
468	128314	35840
469	128502	35543
470	128699	35248
471	128886	34952
472	129104	34664
473	129300	34371
474	129492	34076
475	129707	33789
476	129909	33498
477	130147	33217
478	130375	32934
479	130651	32662
480	130875	32378
481	131090	32092
482	131290	31803
483	131648	31552
484	131919	31279
485	132112	30989
486	132361	30712
487	132658	30446
488	132947	30178
489	133251	29913
490	133528	29642
491	133820	29375
492	134107	29106
493	134390	28836
494	134653	28562
495	134901	28285
496	135197	28018
497	135461	27745
498	135743	27475
499	136027	27205
500	136270	26927
501	136646	26675
502	136882	26396
503	137116	26117
504	137387	25845
505	137626	25567
506	137862	25288
507	138129	25015
508	138395	24742
509	138675	24472
510	138926	24196
511	139160	23918
512	139403	23641
513	139660	23367
514	139954	23099
515	140168	22818
516	140374	22535
517	140684	22270
518	141035	22011
519	141315	21740
520	141574	21467
521	141836	21193
522	142076	20917
523	142368	20648
524	142643	20377
525	142920	20106
526	143220	19838
527	143676	19592
528	144049	19333
529	144406	19072
530	144905	18829
531	145239	18564
532	145611	18303
533	145900	18032
534	146128	17753
535	146352	17474
536	146615	17200
537	146832	16921
538	147066	16643
539	147279	16364
540	147642	16101
541	147893	15826
542	148130	15549
543	148357	15272
544	148578	14994
545	148860	14722
546	149098	14446
547	149312	14168
548	149517	13889
549	149824	13620
550	150198	13356
551	150458	13083
552	150686	12806
553	150906	12530
554	151122	12253
555	151335	11976
556	151568	11700
557	151781	11424
558	151992	11147
559	152206	10871
560	152415	10595
561	152682	10323
562	152884	10047
563	153104	9772
564	153317	9497
565	153531	9222
566	153737	8947
567	153940	8672
568	154152	8398
569	154368	8124
570	154594	7851
571	154828	7579
572	155051	7306
573	155274	7033
574	155528	6762
575	155955	6498
576	156203	6226
577	156467	5955
578	156676	5682
579	156902	5410
580	157110	5137
581	157328	4865
582	157613	4595
583	157834	4324
584	158050	4052
585	158369	3783
586	158665	3513
587	158976	3244
588	159223	2973
589	159459	2702
590	159682	2431
591	159918	2161
592	160181	1890
593	160452	1620
594	160771	1351
595	161152	1081
596	161442	811
597	161764	541
598	162276	270
599	162663	0
