iter	F1	Logloss
90	0.8419178477	0.4443572742
91	0.8433121065	0.4436997039
92	0.8419178477	0.4436946852
93	0.8433121065	0.4431850556
94	0.8433121065	0.4421777018
95	0.8433121065	0.4407553578
96	0.8433121065	0.4403677939
97	0.8433121065	0.4400353176
98	0.8433121065	0.439917148
99	0.8433121065	0.439735392
100	0.8447837196	0.4389471526
101	0.8447837196	0.437802313
102	0.8461832593	0.4365308652
103	0.8461832593	0.4365285239
104	0.8461832593	0.4365263212
105	0.8461832593	0.4353451393
106	0.8461832593	0.4350784374
107	0.8447837196	0.4322060265
108	0.8447109909	0.4312951915
109	0.846114524	0.4299680943
110	0.8489962965	0.4288070706
111	0.8518280994	0.4277257352
112	0.8532510967	0.4263096302
113	0.8561114019	0.4251220603
114	0.8561114019	0.4250785905
115	0.8589909486	0.4241366505
116	0.857548758	0.4229302177
117	0.8589909486	0.4212297369
118	0.8589909486	0.419320868
119	0.8589909486	0.4186604384
120	0.8589909486	0.4176736932
121	0.8604379982	0.4162979103
122	0.8618899315	0.4146807006
123	0.8604379982	0.4145613626
124	0.8618899315	0.4135752416
125	0.8618899315	0.4121256331
126	0.8618899315	0.4105509181
127	0.8633467731	0.4099745889
128	0.8633467731	0.4094599046
129	0.8633467731	0.4081247691
130	0.8633467731	0.4077996205
131	0.864808548	0.4071354538
132	0.864808548	0.4070524539
133	0.864808548	0.4070039681
134	0.864808548	0.4068467541
135	0.864808548	0.4061325541
136	0.864808548	0.4053438978
137	0.864808548	0.4051202599
138	0.8662752813	0.4040508541
139	0.8662752813	0.4038911725
140	0.8647942562	0.4023552919
141	0.8633281209	0.4021476691
142	0.8647942562	0.4018516623
143	0.8647942562	0.4010816215
144	0.8647942562	0.3998919233
145	0.8662653796	0.3977940113
146	0.8662653796	0.3965640563
147	0.869222693	0.3942092199
148	0.8662653796	0.3938111986
149	0.869222693	0.3922937111
150	0.869222693	0.3911013181
151	0.8707089346	0.3909834883
152	0.8722002673	0.3909598323
153	0.8722002673	0.3897183911
154	0.8736967175	0.3895820086
155	0.8736967175	0.3893402718
156	0.8736967175	0.389134752
157	0.8736967175	0.3880606896
158	0.8736967175	0.3868506252
159	0.8736967175	0.3852785758
160	0.8751983115	0.383658303
161	0.8751983115	0.3831127627
162	0.8767050759	0.3826812367
163	0.8767050759	0.3815371334
164	0.8767050759	0.3810797257
165	0.8767050759	0.380598077
166	0.8767050759	0.38015565
167	0.8767050759	0.3800424691
168	0.8767050759	0.3795476379
169	0.8782170374	0.378113732
170	0.8782170374	0.377754434
171	0.8782170374	0.3767328652
172	0.8782170374	0.3758160719
173	0.8782170374	0.3754752705
174	0.8782170374	0.3743544006
175	0.8782170374	0.3740661068
176	0.8782170374	0.3739021792
177	0.8782170374	0.3731009702
178	0.8782170374	0.3730673499
179	0.8797342229	0.3722112173
180	0.8797342229	0.3712104587
181	0.8797342229	0.3697442203
182	0.8797342229	0.3693197377
183	0.8797342229	0.3684792459
184	0.8797342229	0.3677153234
185	0.8812566596	0.3669916672
186	0.8827843748	0.3661034857
187	0.884317396	0.3652838375
188	0.8827843748	0.3647588286
189	0.8858557508	0.3639782401
190	0.8858557508	0.3634910762
191	0.8858557508	0.3617436672
192	0.8873994672	0.3611677289
193	0.8873994672	0.3596372328
194	0.8873994672	0.3576798703
195	0.8873994672	0.3568288526
196	0.8889485733	0.3562079613
197	0.8889485733	0.3548487881
198	0.8889485733	0.3539834847
199	0.8889485733	0.3533603356
200	0.8889485733	0.3533556533
201	0.8889485733	0.3521481357
202	0.8905030972	0.3509465693
203	0.8905030972	0.3501498201
204	0.8905030972	0.3491059279
205	0.8905030972	0.3486636146
206	0.8920630675	0.3479123529
207	0.8920630675	0.3471360286
208	0.8920630675	0.3466643102
209	0.8920630675	0.3461751098
210	0.8920630675	0.3454373743
211	0.8936285129	0.3442547706
212	0.8951994623	0.3433697894
213	0.8936285129	0.3431465877
214	0.8951994623	0.3419211986
215	0.8951994623	0.3418540084
216	0.8951994623	0.3414555673
217	0.8951994623	0.3404022836
218	0.8951994623	0.3396892975
219	0.8951994623	0.3393438798
220	0.8983579892	0.3382131766
221	0.8999456257	0.3373905571
222	0.8999456257	0.3372870334
223	0.9015388836	0.3364738241
224	0.9015388836	0.3356814623
225	0.9031377928	0.33501738
226	0.8999456257	0.3333627884
227	0.8999456257	0.3328772609
228	0.9015388836	0.3318728126
229	0.9015388836	0.3310342126
230	0.9031377928	0.3298327083
231	0.9047423836	0.3288978552
232	0.9031377928	0.3284215199
233	0.9047423836	0.3271941495
234	0.9047423836	0.3264025282
235	0.9047423836	0.3263485192
236	0.9063526863	0.3256174407
237	0.9063526863	0.3253950478
238	0.9063526863	0.3242417827
239	0.9079687314	0.3235098028
240	0.9079687314	0.3230915547
241	0.9079687314	0.3228635957
242	0.9079687314	0.3227952939
243	0.9079687314	0.3222726274
244	0.9079687314	0.3205903109
245	0.9079687314	0.3199305218
246	0.9079687314	0.3194064607
247	0.9079687314	0.3181091659
248	0.9079687314	0.3173142904
249	0.9110867206	0.3166662888
250	0.9110867206	0.3162581863
251	0.9110867206	0.315495849
252	0.9095905496	0.3149090802
253	0.9095905496	0.3148175734
254	0.9094644597	0.3140529129
255	0.9094644597	0.313860423
256	0.9094644597	0.3126811269
257	0.9094644597	0.3124863788
258	0.9094644597	0.3108860229
259	0.9127147793	0.3097480142
260	0.9143486669	0.3083614748
261	0.9143486669	0.3074957963
262	0.9143486669	0.3069484348
263	0.9159884148	0.3065969049
264	0.9176340545	0.3059969336
265	0.9176340545	0.3051302933
266	0.9176340545	0.3046517175
267	0.9176340545	0.3040160073
268	0.9176340545	0.3038762919
269	0.9192856179	0.3033593598
270	0.9192856179	0.3029670249
271	0.9192856179	0.3022194034
272	0.920943137	0.3011942564
273	0.922606644	0.3004419333
274	0.922606644	0.3001171977
275	0.922606644	0.2997646521
276	0.920943137	0.2994442211
277	0.920943137	0.2990791201
278	0.9224376756	0.2976737221
279	0.920943137	0.2962459712
280	0.920943137	0.2956966233
281	0.922606644	0.2951057862
282	0.922606644	0.2945589837
283	0.922606644	0.2937184644
284	0.922606644	0.2933490243
285	0.922606644	0.2931359117
286	0.922606644	0.2918620766
287	0.922606644	0.2912715887
288	0.9242761716	0.290794096
289	0.9242761716	0.29063165
290	0.9257714786	0.2901028531
291	0.9242761716	0.2897088394
292	0.9242761716	0.2890426769
293	0.9257714786	0.2884027524
294	0.9257714786	0.2879132016
295	0.9242761716	0.2873008421
296	0.9259517524	0.2870289293
297	0.9276334194	0.2865077655
298	0.9276334194	0.2851778414
299	0.9291294665	0.284855338
300	0.9291294665	0.2839630001
301	0.9308176122	0.2829168343
302	0.9323098417	0.2825659231
303	0.9323098417	0.2821328308
304	0.9306213452	0.2817348441
305	0.9306213452	0.2813067897
306	0.9306213452	0.2807667354
307	0.9323098417	0.2797174016
308	0.9323098417	0.2796286521
309	0.9340044764	0.2792111869
310	0.9340044764	0.2782373219
311	0.9340044764	0.2780116769
312	0.9340044764	0.2777489296
313	0.9340044764	0.2775835511
314	0.9340044764	0.2767625376
315	0.9340044764	0.2761949987
316	0.9340044764	0.2753587348
317	0.9340044764	0.2746894711
318	0.9357052829	0.2735994574
319	0.9357052829	0.273518943
320	0.9357052829	0.272375472
321	0.9357052829	0.2719823656
322	0.9357052829	0.2715404847
323	0.9357052829	0.2709924807
324	0.9357052829	0.2708232092
325	0.9357052829	0.2703005109
326	0.937412295	0.2694488854
327	0.937412295	0.2685851517
328	0.937412295	0.2681633467
329	0.937412295	0.2675644229
330	0.937412295	0.2674412496
331	0.9391255467	0.2660367011
332	0.9391255467	0.2654604213
333	0.9391255467	0.2651167893
334	0.9391255467	0.2640523245
335	0.9391255467	0.263069246
336	0.9391255467	0.2627024836
337	0.9408450723	0.262270371
338	0.9408450723	0.2616325016
339	0.9408450723	0.2611309102
340	0.9408450723	0.2608292673
341	0.9408450723	0.2603965831
342	0.9408450723	0.2597893825
343	0.9425709063	0.2587658376
344	0.9425709063	0.2583053271
345	0.9425709063	0.2582109168
346	0.9425709063	0.2578746707
347	0.9425709063	0.2570316366
348	0.9443030835	0.2566268085
349	0.9443030835	0.255454581
350	0.9443030835	0.254733387
351	0.9460416389	0.2539295004
352	0.9477866078	0.2531100912
353	0.9477866078	0.2528006818
354	0.9477866078	0.2521252889
355	0.9477866078	0.2512337984
356	0.9477866078	0.2506461432
357	0.9477866078	0.2505468699
358	0.9495380258	0.2498813912
359	0.9495380258	0.2497421325
360	0.9495380258	0.2492995093
361	0.9495380258	0.2490244811
362	0.9495380258	0.2488339316
363	0.9477866078	0.2486758035
364	0.9477866078	0.2483219955
365	0.9477866078	0.2482266226
366	0.9495380258	0.2479180779
367	0.9495380258	0.2471507474
368	0.9495380258	0.2468290071
369	0.9512959286	0.2465723013
370	0.9512959286	0.2457846902
371	0.9495380258	0.2453289726
372	0.9495380258	0.2452886452
373	0.9495380258	0.2445528076
374	0.9530603525	0.2437725821
375	0.9530603525	0.2434384291
376	0.9530603525	0.2422748985
377	0.9530603525	0.2413711368
378	0.9530603525	0.2407331474
379	0.9530603525	0.2403584237
380	0.9530603525	0.2403038577
381	0.9530603525	0.2398530946
382	0.9530603525	0.2394850432
383	0.9530603525	0.2391756582
384	0.9530603525	0.238241949
385	0.9530603525	0.2377119466
386	0.9548313336	0.2369420931
387	0.956323153	0.2361411548
388	0.956323153	0.2350889301
389	0.956323153	0.2344827967
390	0.956323153	0.2341041448
391	0.956323153	0.2336586149
392	0.956323153	0.233359137
393	0.956323153	0.2327462558
394	0.956323153	0.2326652498
395	0.956323153	0.2316532663
396	0.9578107198	0.2308111551
397	0.9578107198	0.2295213259
398	0.9578107198	0.229358391
399	0.9595887491	0.229057414
400	0.9595887491	0.2281563659
401	0.9595887491	0.2280086877
402	0.9613733919	0.2269149708
403	0.9613733919	0.2264763321
404	0.9613733919	0.2258714506
405	0.9613733919	0.224930349
406	0.9613733919	0.2247486671
407	0.9613733919	0.2246051832
408	0.9613733919	0.2241871227
409	0.9613733919	0.2236032705
410	0.9631646852	0.223218491
411	0.9631646852	0.2227601057
412	0.9631646852	0.2225519387
413	0.9631646852	0.2222440277
414	0.9631646852	0.2217279946
415	0.9631646852	0.2214409181
416	0.9631646852	0.2208240025
417	0.9631646852	0.2204990447
418	0.9631646852	0.2203614276
419	0.9631646852	0.2198582887
420	0.9631646852	0.2194383057
421	0.9631646852	0.2192611048
422	0.9631646852	0.2186828358
423	0.9631646852	0.218565757
424	0.9631646852	0.2181886783
425	0.9631646852	0.2178379914
426	0.9631646852	0.2175850003
427	0.9631646852	0.2172989881
428	0.9631646852	0.2164063483
429	0.9631646852	0.2162556484
430	0.9631646852	0.2161503603
431	0.9631646852	0.2161091056
432	0.9631646852	0.2159236929
433	0.9631646852	0.2155553848
434	0.9631646852	0.2150485748
435	0.9631646852	0.2149069425
436	0.9631646852	0.2147388382
437	0.9631646852	0.2144884241
438	0.9631646852	0.213696976
439	0.9649626663	0.2132019324
440	0.9649626663	0.2127195586
441	0.9649626663	0.2123933797
442	0.9649626663	0.211754024
443	0.9667673727	0.2113510433
444	0.9667673727	0.210837724
445	0.9667673727	0.2102913579
446	0.9667673727	0.2099179406
447	0.9667673727	0.2098559412
448	0.9667673727	0.2090636446
449	0.9667673727	0.2088603752
450	0.9667673727	0.2086101024
451	0.9667673727	0.2085474121
452	0.9667673727	0.2082419754
453	0.9685788422	0.2076848015
454	0.9685788422	0.207247126
455	0.9685788422	0.2069740257
456	0.9685788422	0.2059657845
457	0.9685788422	0.2058370903
458	0.9685788422	0.2052777252
459	0.9685788422	0.2049486776
460	0.9667673727	0.2045572851
461	0.9667673727	0.2044232654
462	0.9685788422	0.2041280059
463	0.9667673727	0.2038571272
464	0.9667673727	0.2032347187
465	0.9685788422	0.2029199336
466	0.9685788422	0.202722184
467	0.9703971129	0.2022780248
468	0.9703971129	0.2015152441
469	0.9703971129	0.2010376958
470	0.9703971129	0.2001129669
471	0.9703971129	0.199632773
472	0.9703971129	0.1992159238
473	0.9703971129	0.1987652605
474	0.9722222232	0.1981921258
475	0.9722222232	0.1976785502
476	0.9722222232	0.1973954469
477	0.9722222232	0.1973063265
478	0.9740542116	0.1971162782
479	0.9740542116	0.196725443
480	0.9722222232	0.1963883964
481	0.9758931173	0.1957925128
482	0.9758931173	0.1949973032
483	0.9758931173	0.1949384588
484	0.9758931173	0.1946429724
485	0.9758931173	0.1943854599
486	0.9758931173	0.1941594184
487	0.9758931173	0.1937485351
488	0.9758931173	0.1930510704
489	0.9758931173	0.1926077345
490	0.9758931173	0.1919726715
491	0.9758931173	0.191682061
492	0.9758931173	0.1915707226
493	0.9758931173	0.1913798155
494	0.9758931173	0.191057648
495	0.9758931173	0.1909787004
496	0.9740542116	0.1907907054
497	0.9758931173	0.1906106512
498	0.9758931173	0.1905661906
499	0.9758931173	0.189858053
500	0.9758931173	0.1896805299
501	0.9758931173	0.1891014358
502	0.9758931173	0.1886585472
503	0.9758931173	0.1877121847
504	0.9758931173	0.1872324314
505	0.9777389794	0.1867343778
506	0.9777389794	0.1865464258
507	0.9777389794	0.1864828169
508	0.9777389794	0.186208181
509	0.9777389794	0.1859121791
510	0.9777389794	0.1858690996
511	0.9777389794	0.1854585971
512	0.9777389794	0.1849528491
513	0.9777389794	0.1848821165
514	0.9777389794	0.1846766979
515	0.9777389794	0.1844531206
516	0.9777389794	0.1840210478
517	0.9777389794	0.1838294848
518	0.9777389794	0.1836876265
519	0.9792241763	0.1831379581
520	0.9792241763	0.1831027812
521	0.9810771477	0.1826172241
522	0.9810771477	0.182417448
523	0.9810771477	0.1821423957
524	0.9810771477	0.1817491613
525	0.9810771477	0.1817093048
526	0.9810771477	0.1810544769
527	0.9810771477	0.1808234869
528	0.9810771477	0.1805334502
529	0.9810771477	0.1804122312
530	0.9810771477	0.1797950503
531	0.9810771477	0.1796066147
532	0.9810771477	0.1789103647
533	0.9810771477	0.1785157385
534	0.9810771477	0.1781302403
535	0.9810771477	0.1777225522
536	0.9810771477	0.1771911691
537	0.9810771477	0.1766926391
538	0.9810771477	0.1764535601
539	0.9810771477	0.176113784
540	0.9810771477	0.1760299405
541	0.9810771477	0.1757303617
542	0.9810771477	0.1753232272
543	0.9810771477	0.174834745
544	0.9810771477	0.1746453978
545	0.9810771477	0.1743663085
546	0.9810771477	0.1736833178
547	0.9829371451	0.1730058471
548	0.9829371451	0.1729094178
549	0.9810771477	0.1727667636
550	0.9829371451	0.1722219679
551	0.9829371451	0.1719663453
552	0.9829371451	0.1715876764
553	0.9848042086	0.1712356837
554	0.9848042086	0.1711816865
555	0.9866783785	0.1709587596
556	0.9848042086	0.170654917
557	0.9848042086	0.1701483378
558	0.9866783785	0.1696679386
559	0.9866783785	0.1693077874
560	0.9885596953	0.1687879831
561	0.9885596953	0.1685766594
562	0.9885596953	0.168189783
563	0.9885596953	0.1681197844
564	0.9885596953	0.1679956701
565	0.9885596953	0.1679093213
566	0.9885596953	0.1675924259
567	0.9866783785	0.1671989532
568	0.9866783785	0.1667617809
569	0.9866783785	0.1666774831
570	0.9866783785	0.1661300051
571	0.9866783785	0.1657979529
572	0.9866783785	0.1654247494
573	0.9885596953	0.1649963553
574	0.9885596953	0.1646273632
575	0.9885596953	0.1641443278
576	0.9885596953	0.1639536537
577	0.9885596953	0.1638675557
578	0.9885596953	0.1634711365
579	0.9885596953	0.1627504682
580	0.9885596953	0.1623578741
581	0.9885596953	0.1621864391
582	0.9885596953	0.1620796853
583	0.9885596953	0.1613501237
584	0.9885596953	0.1612867744
585	0.9885596953	0.1608383596
586	0.9885596953	0.1607333307
587	0.9885596953	0.1606129267
588	0.9885596953	0.1605242475
589	0.9904482002	0.1600975154
590	0.9904482002	0.1600461691
591	0.9904482002	0.1600044689
592	0.9904482002	0.1599664339
593	0.9904482002	0.1599349256
594	0.9904482002	0.1598252695
595	0.9904482002	0.1597862524
596	0.9904482002	0.1594905359
597	0.9904482002	0.1591419364
598	0.9904482002	0.1588518231
599	0.9904482002	0.1583468686
